Date & Time,Longitude,Latitude,GPS Hight,GPS Speed,GPS Satellites,GPS Heading,PCC Average SINR(Normal/csi-MeasSubframeSet1)(dB),PCC RANK1 SINR(Normal/csi-MeasSubframeSet1)(dB),PCC RANK2 SINR1(Normal/csi-MeasSubframeSet1)(dB),Serving Cell PCI,Serving Cell RSRP(dBm),Serving Cell RSRQ(dB),Serving Cell RSSI(dBm)
"	2013-11-29 15:07:46","	116.631208","	40.307630","	42.40","	18.93","	10","	271.73",29.31,23.45,17.81,100,-75,-7,-48
"	2013-11-29 15:07:47","	116.631145","	40.307632","	42.50","	18.98","	10","	271.33",29.6,22.94,17.06,100,-75,-7,-48
"	2013-11-29 15:07:48","	116.631083","	40.307632","	42.50","	19.00","	10","	271.10",32.02,24.74,16.09,100,-76,-8,-48
"	2013-11-29 15:07:49","	116.631020","	40.307632","	42.50","	18.98","	10","	270.83",30.34,21.26,17.14,100,-80,-7,-54
"	2013-11-29 15:07:50","	116.631020","	40.307632","	42.50","	18.98","	10","	270.83",31.54,23.36,14.48,100,-79,-7,-52
"	2013-11-29 15:07:51","	116.630895","	40.307632","	42.60","	19.06","	10","	270.46",28.72,23.56,16.59,100,-80,-7,-53
"	2013-11-29 15:07:52","	116.630833","	40.307630","	42.80","	19.11","	10","	269.67",26.09,21.73,16.93,100,-80,-7,-53
"	2013-11-29 15:07:53","	116.630833","	40.307630","	42.80","	19.11","	10","	269.67",26.44,20.2,14.72,100,-81,-7,-54
"	2013-11-29 15:07:54","	116.630710","	40.307628","	43.00","	19.11","	10","	268.83",28.17,21.58,14.75,100,-82,-7,-56
"	2013-11-29 15:07:55","	116.630647","	40.307627","	43.20","	0.00","	10","	0.00",24.63,18.33,12.81,100,-84,-8,-56
"	2013-11-29 15:07:56","	116.630647","	40.307627","	43.20","	0.00","	10","	0.00",24.5,19.31,14.89,100,-84,-7,-57
"	2013-11-29 15:07:57","	116.630583","	40.307627","	43.30","	0.00","	10","	0.00",26.74,21.29,12.7,100,-84,-7,-57
"	2013-11-29 15:07:58","	116.630518","	40.307627","	43.50","	19.76","	10","	270.95",26.7,20.33,13.86,100,-84,-8,-56
"	2013-11-29 15:07:59","	116.630450","	40.307627","	43.60","	20.54","	10","	271.20",26.3,21.11,12.3,100,-85,-7,-58
"	2013-11-29 15:08:00","	116.630380","	40.307628","	43.80","	21.43","	10","	271.36",26.36,19.22,14.47,100,-86,-7,-59
"	2013-11-29 15:08:01","	116.630310","	40.307628","	43.90","	21.67","	10","	271.50",25.34,18.63,11.72,100,-88,-8,-60
"	2013-11-29 15:08:02","	116.630238","	40.307628","	44.00","	21.33","	10","	271.06",23.79,20.14,11.86,100,-89,-8,-61
"	2013-11-29 15:08:03","	116.630082","	40.307628","	44.30","	24.22","	10","	270.26",23.52,18.42,11.13,100,-89,-7,-61
"	2013-11-29 15:08:04","	116.629997","	40.307627","	44.50","	0.00","	10","	0.00",23.77,19.16,11.4,100,-91,-7,-63
"	2013-11-29 15:08:05","	116.629908","	40.307625","	44.80","	26.54","	10","	269.97",25.82,20.11,11.09,100,-90,-8,-63
"	2013-11-29 15:08:06","	116.629908","	40.307625","	44.80","	26.54","	10","	269.97",23.98,19.35,10.46,100,-90,-8,-63
"	2013-11-29 15:08:07","	116.629725","	40.307623","	45.20","	28.06","	10","	270.11",20.64,18.03,9.88,100,-91,-8,-64
"	2013-11-29 15:08:08","	116.629632","	40.307623","	45.50","	0.00","	10","	0.00",24.63,20.48,9.77,100,-90,-8,-63
"	2013-11-29 15:08:09","	116.629537","	40.307622","	45.80","	28.91","	10","	270.71",23.38,19.16,13.95,100,-91,-7,-64
"	2013-11-29 15:08:10","	116.629442","	40.307623","	46.00","	29.02","	10","	271.21",21.82,20.59,10.05,100,-92,-8,-65
"	2013-11-29 15:08:11","	116.629442","	40.307623","	46.00","	29.02","	10","	271.21",23.03,20.53,11.38,100,-92,-8,-64
"	2013-11-29 15:08:12","	116.629253","	40.307625","	46.20","	28.72","	9","	271.05",22.43,18.59,11.36,100,-94,-8,-66
"	2013-11-29 15:08:13","	116.629160","	40.307625","	46.20","	28.41","	10","	0.00",19.42,17.44,9.6,100,-93,-8,-66
"	2013-11-29 15:08:14","	116.629067","	40.307625","	46.40","	28.24","	10","	270.57",18.06,15.27,7.01,100,-96,-8,-68
"	2013-11-29 15:08:15","	116.628975","	40.307623","	46.50","	28.30","	10","	270.30",16.67,16.63,9.6,100,-96,-8,-69
"	2013-11-29 15:08:16","	116.628975","	40.307623","	46.50","	28.30","	10","	270.30",16.88,14.81,8.58,100,-97,-8,-68
"	2013-11-29 15:08:17","	116.628787","	40.307622","	46.80","	28.61","	10","	269.63",15.85,14.58,6.28,100,-97,-8,-69
"	2013-11-29 15:08:18","	116.628693","	40.307620","	47.00","	28.76","	10","	269.53",12.98,13.86,5.98,100,-98,-9,-70
"	2013-11-29 15:08:19","	116.628598","	40.307618","	47.20","	28.72","	10","	269.96",15.21,14.89,3.95,100,-99,-9,-71
"	2013-11-29 15:08:20","	116.628507","	40.307617","	47.50","	28.63","	10","	269.63",12.98,14.95,6.52,100,-100,-9,-72
"	2013-11-29 15:08:21","	116.628507","	40.307617","	47.50","	28.63","	10","	269.63",11.61,13.86,2.55,100,-101,-10,-71
"	2013-11-29 15:08:22","	116.628322","	40.307615","	47.60","	28.04","	9","	269.54",13.01,13.45,1.97,100,-100,-10,-70
"	2013-11-29 15:08:23","	116.628230","	40.307613","	47.70","	27.76","	9","	269.59",12.2,13.98,3.66,100,-101,-9,-72
"	2013-11-29 15:08:24","	116.628138","	40.307612","	47.70","	27.69","	9","	269.34",15.94,16.22,6.05,100,-99,-9,-71
"	2013-11-29 15:08:25","	116.628047","	40.307612","	47.80","	27.96","	9","	269.23",13.91,13.73,4.36,100,-99,-8,-71
"	2013-11-29 15:08:26","	116.628047","	40.307612","	47.80","	27.96","	9","	269.23",6.67,7.68,0.79,100,-100,-10,-70
"	2013-11-29 15:08:27","	116.627860","	40.307608","	47.90","	28.43","	9","	269.53",10.53,12.67,2.28,100,-101,-11,-70
"	2013-11-29 15:08:28","	116.627767","	40.307608","	47.90","	28.48","	9","	269.53",11.9,13.73,2.7,100,-101,-10,-71
"	2013-11-29 15:08:29","	116.627675","	40.307605","	48.00","	28.24","	9","	269.41",7.93,8.35,0.22,100,-101,-11,-70
"	2013-11-29 15:08:30","	116.627585","	40.307600","	48.30","	27.87","	10","	267.81",5.6,7.77,-0.25,100,-103,-12,-71
"	2013-11-29 15:08:31","	116.627585","	40.307600","	48.30","	27.87","	10","	267.81",3.95,6,-1.15,100,-103,-12,-71
"	2013-11-29 15:08:32","	116.627407","	40.307592","	48.70","	27.07","	10","	266.81",-0.11,1.82,-2.7,100,-103,-13,-71
"	2013-11-29 15:08:33","	116.627317","	40.307590","	48.80","	27.50","	10","	269.05",3.33,6,-1.24,100,-104,-13,-71
"	2013-11-29 15:08:34","	116.627223","	40.307588","	49.00","	28.15","	10","	269.74",0.77,4.6,-1.59,100,-104,-13,-71
"	2013-11-29 15:08:35","	116.627132","	40.307587","	49.10","	28.48","	10","	269.44",6.4,8,0.19,100,-104,-12,-72
"	2013-11-29 15:08:36","	116.627038","	40.307585","	49.10","	28.67","	10","	268.97",6.11,6.73,-0.44,100,-104,-12,-73
"	2013-11-29 15:08:37","	116.626945","	40.307583","	49.20","	0.00","	10","	0.00",2.9,4.79,-1.29,100,-105,-13,-72
"	2013-11-29 15:08:38","	116.626852","	40.307582","	49.40","	28.61","	10","	268.90",1.57,3.6,-1.69,100,-107,-15,-72
"	2013-11-29 15:08:39","	116.626762","	40.307580","	49.50","	28.26","	10","	269.38",-0.01,1.22,-3.06,100,-107,-15,-72
"	2013-11-29 15:08:40","	116.626672","	40.307580","	49.70","	27.89","	10","	269.78",-0.69,1.04,-3.53,100,-108,-15,-73
"	2013-11-29 15:08:41","	116.626582","	40.307582","	49.70","	27.54","	10","	270.81",-0.13,0.98,-3.25,100,-108,-16,-72
"	2013-11-29 15:08:42","	116.626493","	40.307585","	49.50","	26.91","	10","	0.00",2.18,4.94,-1.4,100,-107,-15,-72
"	2013-11-29 15:08:43","	116.626407","	40.307590","	0.00","	26.37","	10","	273.56",1.71,3.8,-2.27,100,-106,-15,-72
"	2013-11-29 15:08:44","	116.626320","	40.307593","	0.00","	26.04","	10","	272.89",-1.77,0.06,-4.58,100,-108,-17,-71
"	2013-11-29 15:08:45","	116.626235","	40.307595","	0.00","	25.94","	10","	272.36",-2.86,0.22,-4.63,100,-108,-19,-69
"	2013-11-29 15:08:46","	116.626150","	40.307595","	0.00","	25.85","	10","	270.96",-6.19,-3.2,-7.02,100,-110,-20,-66
"	2013-11-29 15:08:47","	116.626068","	40.307593","	0.00","	25.41","	10","	269.07",-4.16,-1,-5.2,100,-109,-20,-66
