Date & Time,Longitude,Latitude,GPS Hight,GPS Speed,GPS Satellites,GPS Heading,PCC Average SINR(Normal/csi-MeasSubframeSet1)(dB),PCC RANK1 SINR(Normal/csi-MeasSubframeSet1)(dB),PCC RANK2 SINR1(Normal/csi-MeasSubframeSet1)(dB),Serving Cell PCI,Serving Cell RSRP(dBm),Serving Cell RSRQ(dB),Serving Cell RSSI(dBm)
	2013-11-29 15:07:46,	116.631208,	40.307630,	42.40,	18.93,	10,	271.73,,,,100,-86,-7,-59
	2013-11-29 15:07:47,	116.631145,	40.307632,	42.50,	18.98,	10,	271.33,30.18,19.35,17.81,100,-88,-8,-60
	2013-11-29 15:07:48,	116.631083,	40.307632,	42.50,	19.00,	10,	271.10,28.97,20.59,17.31,100,-85,-7,-57
	2013-11-29 15:07:49,	116.631020,	40.307632,	42.50,	18.98,	10,	270.83,27.48,19.54,16.28,100,-87,-7,-60
	2013-11-29 15:07:50,	116.630958,	40.307632,	42.50,	19.02,	10,	270.42,28.17,20.18,15.52,100,-87,-7,-60
	2013-11-29 15:07:51,	116.630895,	40.307632,	42.60,	19.06,	10,	270.46,26.50,19.48,16.43,100,-89,-7,-62
	2013-11-29 15:07:52,	116.630833,	40.307630,	42.80,	19.11,	10,	269.67,26.67,19.28,15.79,100,-87,-8,-59
	2013-11-29 15:07:53,	116.630833,	40.307630,	42.80,	19.11,	10,	269.67,26.09,18.77,15.46,100,-88,-7,-61
	2013-11-29 15:07:54,	116.630647,	40.307627,	43.20,	0.00,	10,	0.00,21.40,18.20,14.98,100,-92,-7,-65
	2013-11-29 15:07:55,	116.630647,	40.307627,	43.20,	0.00,	10,	0.00,22.96,18.45,14.17,100,-90,-7,-63
	2013-11-29 15:07:56,	116.630583,	40.307627,	43.30,	0.00,	10,	0.00,24.83,18.20,14.49,100,-92,-7,-65
	2013-11-29 15:07:57,	116.630583,	40.307627,	43.30,	0.00,	10,	0.00,24.80,18.65,15.29,100,-93,-7,-66
	2013-11-29 15:07:58,	116.630518,	40.307627,	43.50,	19.76,	10,	270.95,21.14,17.92,14.08,100,-93,-7,-67
	2013-11-29 15:07:59,	116.630450,	40.307627,	43.60,	20.54,	10,	271.20,23.34,18.13,14.11,100,-94,-7,-67
	2013-11-29 15:08:00,	116.630380,	40.307628,	43.80,	21.43,	10,	271.36,22.50,18.23,14.36,100,-95,-7,-67
	2013-11-29 15:08:01,	116.630310,	40.307628,	43.90,	21.67,	10,	271.50,20.53,17.84,13.68,100,-95,-8,-68
	2013-11-29 15:08:02,	116.630238,	40.307628,	44.00,	21.33,	10,	271.06,19.52,17.15,11.26,100,-96,-7,-68
	2013-11-29 15:08:03,	116.630082,	40.307628,	44.30,	24.22,	10,	270.26,17.18,16.07,11.51,100,-98,-8,-71
	2013-11-29 15:08:04,	116.629997,	40.307627,	44.50,	0.00,	10,	0.00,16.88,16.43,13.61,100,-99,-8,-72
	2013-11-29 15:08:05,	116.629908,	40.307625,	44.80,	26.54,	10,	269.97,14.93,16.05,11.86,100,-102,-8,-74
	2013-11-29 15:08:06,	116.629908,	40.307625,	44.80,	26.54,	10,	269.97,14.71,16.05,10.26,100,-102,-8,-74
	2013-11-29 15:08:07,	116.629725,	40.307623,	45.20,	28.06,	10,	270.11,12.75,15.93,9.80,100,-105,-7,-77
	2013-11-29 15:08:08,	116.629632,	40.307623,	45.50,	0.00,	10,	0.00,12.11,15.24,10.26,100,-104,-8,-76
	2013-11-29 15:08:09,	116.629537,	40.307622,	45.80,	28.91,	10,	270.71,14.43,15.52,11.30,100,-103,-8,-75
	2013-11-29 15:08:10,	116.629442,	40.307623,	46.00,	29.02,	10,	271.21,13.37,14.81,8.04,100,-108,-8,-78
	2013-11-29 15:08:11,	116.629442,	40.307623,	46.00,	29.02,	10,	271.21,14.47,14.81,7.95,100,-103,-8,-75
	2013-11-29 15:08:12,	116.629253,	40.307625,	46.20,	28.72,	9,	271.05,12.87,14.52,9.68,100,-106,-7,-78
	2013-11-29 15:08:13,	116.629160,	40.307625,	46.20,	28.41,	10,	0.00,16.28,14.66,8.41,100,-99,-9,-70
	2013-11-29 15:08:14,	116.629067,	40.307625,	46.40,	28.24,	10,	270.57,8.85,11.84,4.63,100,-105,-9,-75
	2013-11-29 15:08:15,	116.628975,	40.307623,	46.50,	28.30,	10,	270.30,9.38,13.82,6.34,,,,
	2013-11-29 15:08:16,	116.628975,	40.307623,	46.50,	28.30,	10,	270.30,8.35,12.75,5.07,100,-109,-9,-79
	2013-11-29 15:08:17,	116.628787,	40.307622,	46.80,	28.61,	10,	269.63,6.64,11.46,5.07,,,,
	2013-11-29 15:08:18,	116.628693,	40.307620,	47.00,	28.76,	10,	269.53,5.45,8.41,2.12,,,,
	2013-11-29 15:08:19,	116.628598,	40.307618,	47.20,	28.72,	10,	269.96,4.02,8.23,2.70,,,,
	2013-11-29 15:08:20,	116.628507,	40.307617,	47.50,	28.63,	10,	269.63,2.84,5.79,0.19,,,,
	2013-11-29 15:08:21,	116.628507,	40.307617,	47.50,	28.63,	10,	269.63,2.34,5.86,-0.50,,,,
	2013-11-29 15:08:22,	116.628322,	40.307615,	47.60,	28.04,	9,	269.54,-3.39,0.98,-2.92,,,,
	2013-11-29 15:08:23,	116.628230,	40.307613,	47.70,	27.76,	9,	269.59,-0.87,2.76,-1.59,,,,
	2013-11-29 15:08:24,	116.628138,	40.307612,	47.70,	27.69,	9,	269.34,0.09,3.83,-1.04,,,,
	2013-11-29 15:08:38,	116.626852,	40.307582,	49.40,	28.61,	10,	268.90,5.98,12.23,6.52,,,,
	2013-11-29 15:08:39,	116.626762,	40.307580,	49.50,	28.26,	10,	269.38,0.00,,,,,,
	2013-11-29 15:08:40,	116.626672,	40.307580,	49.70,	27.89,	10,	269.78,0.00,,,,,,
	2013-11-29 15:08:41,	116.626582,	40.307582,	49.70,	27.54,	10,	270.81,0.00,,,,,,
	2013-11-29 15:08:42,	116.626493,	40.307585,	49.50,	26.91,	10,	0.00,0.00,,,,,,
	2013-11-29 15:08:43,	116.626407,	40.307590,	0.00,	26.37,	10,	273.56,0.00,,,,,,
	2013-11-29 15:09:01,	116.625602,	40.308142,	51.60,	25.15,	10,	352.36,7.66,12.39,3.72,,,,
	2013-11-29 15:09:02,	116.625588,	40.308205,	51.50,	25.52,	10,	351.49,0.00,,,,,,
	2013-11-29 15:09:03,	116.625588,	40.308205,	51.50,	25.52,	10,	351.49,0.00,,,,,,
	2013-11-29 15:09:04,	116.625575,	40.308268,	51.50,	25.20,	10,	351.66,0.00,,,,,,
	2013-11-29 15:09:05,	116.625563,	40.308330,	51.60,	24.98,	10,	351.85,0.00,,,,,,
	2013-11-29 15:09:06,	116.625552,	40.308392,	51.80,	24.80,	10,	352.14,0.00,,,,,,
	2013-11-29 15:09:07,	116.625532,	40.308513,	52.30,	24.43,	10,	352.90,0.00,,,,,,
	2013-11-29 15:09:08,	116.625513,	40.308635,	52.90,	24.44,	9,	354.42,0.00,,,,,,
	2013-11-29 15:09:09,	116.625513,	40.308635,	52.90,	24.44,	9,	354.42,0.00,,,,,,
	2013-11-29 15:09:10,	116.625507,	40.308698,	53.10,	0.00,	9,	0.00,0.00,,,,,,
	2013-11-29 15:09:11,	116.625488,	40.308827,	53.40,	25.70,	9,	354.80,0.00,,,,,,
	2013-11-29 15:09:12,	116.625480,	40.308893,	53.60,	0.00,	8,	0.00,30.91,26.81,12.79,110,-69,-7,-42
	2013-11-29 15:09:13,	116.625480,	40.308893,	53.60,	0.00,	8,	0.00,29.98,26.64,18.89,110,-69,-7,-42
	2013-11-29 15:09:14,	116.625470,	40.308960,	53.80,	26.43,	8,	0.00,31.73,29.14,14.27,110,-66,-8,-38
	2013-11-29 15:09:15,	116.625462,	40.309027,	53.90,	0.00,	8,	0.00,31.44,28.60,20.75,110,-68,-7,-41
